,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Giannis Antetokounmpo,2020,PF,25,MIL,93,97,179,94
1,James Harden,2020,SG,30,HOU,97,88,177,93
2,Anthony Davis,2020,PF,26,LAL,89,94,174,91
3,Kawhi Leonard,2020,SF,28,LAC,90,90,173,91
4,LeBron James,2020,PG,35,LAL,92,88,172,90
5,Luka Dončić,2020,PG,20,DAL,93,83,170,89
6,Nikola Jokić,2020,C,24,DEN,88,88,169,88
7,Damian Lillard,2020,PG,29,POR,95,75,167,87
8,Jimmy Butler,2020,SF,30,MIA,87,86,167,87
9,Bam Adebayo,2020,PF,22,MIA,83,90,166,86
10,Ben Simmons,2020,PG,23,PHI,83,90,166,86
11,Karl-Anthony Towns,2020,C,24,MIN,89,83,166,86
12,Jayson Tatum,2020,PF,21,BOS,86,88,166,86
13,Joel Embiid,2020,C,25,PHI,86,85,165,86
14,Andre Drummond,2020,C,26,CLE,81,93,165,86
15,Chris Paul,2020,PG,34,OKC,86,86,165,86
16,Kyrie Irving,2020,PG,27,BRK,88,80,164,85
17,Khris Middleton,2020,SF,28,MIL,86,84,164,85
18,Hassan Whiteside,2020,C,30,POR,83,88,164,85
19,Paul George,2020,SF,29,LAC,84,84,163,85
20,Nikola Vučević,2020,C,29,ORL,84,84,163,85
21,Russell Westbrook,2020,PG,31,HOU,86,83,163,85
22,Montrezl Harrell,2020,C,26,LAC,84,83,162,84
23,Domantas Sabonis,2020,PF,23,IND,83,85,162,84
24,Fred VanVleet,2020,SG,25,TOR,82,86,162,84
25,Trae Young,2020,PG,21,ATL,92,73,162,84
26,Kyle Lowry,2020,PG,33,TOR,83,85,162,84
27,Pascal Siakam,2020,PF,25,TOR,82,85,161,83
28,Devin Booker,2020,SG,23,PHO,88,76,161,83
29,Zach LaVine,2020,SF,24,CHI,84,81,161,83
30,Brook Lopez,2020,C,31,MIL,77,90,160,83
31,Shai Gilgeous-Alexander,2020,SG,21,OKC,82,84,160,83
32,DeMar DeRozan,2020,SF,30,SAS,86,78,160,83
33,Steven Adams,2020,C,26,OKC,81,85,160,83
34,John Collins,2020,PF,22,ATL,84,80,160,83
35,Jarrett Allen,2020,C,21,BRK,81,85,160,83
36,Nerlens Noel,2020,C,25,OKC,78,89,160,83
37,Bradley Beal,2020,SG,26,WAS,89,74,160,83
38,Kristaps Porziņģis,2020,C,24,DAL,82,84,160,83
39,Brandon Ingram,2020,PF,22,NOP,84,79,159,82
40,T.J. Warren,2020,SF,26,IND,82,81,159,82
41,Kemba Walker,2020,PG,29,BOS,84,79,159,82
42,De'Aaron Fox,2020,PG,22,SAC,84,79,159,82
43,Jonas Valančiūnas,2020,C,27,MEM,82,83,159,82
44,Daniel Theis,2020,C,27,BOS,80,85,159,82
45,Jrue Holiday,2020,SG,29,NOP,82,83,159,82
46,Marcus Smart,2020,SG,25,BOS,78,86,159,82
47,Eric Bledsoe,2020,PG,30,MIL,81,84,159,82
48,Jonathan Isaac,2020,PF,22,ORL,76,90,159,82
49,Donovan Mitchell,2020,SG,23,UTA,84,79,159,82
50,Al Horford,2020,C,33,PHI,80,84,158,82
51,Gordon Hayward,2020,SF,29,BOS,82,80,158,82
52,Tobias Harris,2020,PF,27,PHI,82,80,158,82
53,LaMarcus Aldridge,2020,C,34,SAS,82,80,158,82
54,Christian Wood,2020,PF,24,DET,83,79,158,82
55,Danilo Gallinari,2020,PF,31,OKC,84,78,158,82
56,Spencer Dinwiddie,2020,PG,26,BRK,84,76,158,82
57,OG Anunoby,2020,SF,22,TOR,76,89,158,82
58,Robert Covington,2020,PF-C,29,HOU,76,88,157,81
59,Donte DiVincenzo,2020,SG,23,MIL,76,88,157,81
60,Evan Fournier,2020,SF,27,ORL,82,79,157,81
61,Dejounte Murray,2020,PG,23,SAS,77,85,157,81
62,D'Angelo Russell,2020,PG,23,MIN,84,75,157,81
63,Norman Powell,2020,SG,26,TOR,80,83,157,81
64,Ricky Rubio,2020,PG,29,PHO,81,81,157,81
65,Myles Turner,2020,C,23,IND,77,86,157,81
66,JaVale McGee,2020,C,32,LAL,77,85,157,81
67,Brandon Clarke,2020,PF,23,MEM,81,80,157,81
68,Ivica Zubac,2020,C,22,LAC,81,81,157,81
69,Jaylen Brown,2020,SG,23,BOS,81,81,157,81
70,Julius Randle,2020,PF,25,NYK,81,79,156,81
71,Kevin Love,2020,PF,31,CLE,82,78,156,81
72,Derrick Rose,2020,PG,31,DET,84,74,156,81
73,Nemanja Bjelica,2020,PF,31,SAC,80,81,156,81
74,Ja Morant,2020,PG,20,MEM,83,76,156,81
75,Jaren Jackson Jr.,2020,C,20,MEM,80,81,156,81
76,Jamal Murray,2020,PG,22,DEN,82,78,156,81
77,Lonzo Ball,2020,PG,22,NOP,78,83,156,81
78,Kris Dunn,2020,PG,25,CHI,74,89,156,81
79,Delon Wright,2020,PG,27,DAL,77,84,156,81
80,Malcolm Brogdon,2020,PG,27,IND,82,78,156,81
81,Dwight Howard,2020,C,34,LAL,77,84,156,81
82,George Hill,2020,PG,33,MIL,80,81,156,81
83,Elfrid Payton,2020,PG,25,NYK,78,81,155,80
84,Buddy Hield,2020,SG,27,SAC,82,76,155,80
85,Patrick Beverley,2020,PG,31,LAC,76,85,155,80
86,Alec Burks,2020,SF-SG,28,PHI,81,78,155,80
87,Will Barton,2020,SF,29,DEN,80,80,155,80
88,Dennis Schröder,2020,PG,26,OKC,82,76,155,80
89,Enes Freedom,2020,C,27,BOS,80,79,155,80
90,Thomas Bryant,2020,C,22,WAS,81,78,155,80
91,Mason Plumlee,2020,C,29,DEN,78,81,155,80
92,Marc Gasol,2020,C,35,TOR,75,86,155,80
93,Kelly Oubre Jr.,2020,SF,24,PHO,78,81,155,80
94,Serge Ibaka,2020,C,30,TOR,78,81,155,80
95,Aaron Gordon,2020,PF,24,ORL,78,81,155,80
96,Devonte' Graham,2020,PG,24,CHO,83,74,155,80
97,Mikal Bridges,2020,SF,23,PHO,76,85,155,80
98,Willie Cauley-Stein,2020,C,26,DAL,76,84,155,80
99,Justin Holiday,2020,SF,30,IND,76,85,155,80
100,Jae Crowder,2020,SF-PF,29,MIA,77,83,155,80
101,Zion Williamson,2020,PF,19,NOP,83,74,155,80
102,Deandre Ayton,2020,C,21,PHO,80,80,155,80
103,Lou Williams,2020,PG,33,LAC,82,76,155,80
104,CJ McCollum,2020,SG,28,POR,83,74,155,80
105,Gorgui Dieng,2020,C,30,MEM,76,84,155,80
106,Derrick White,2020,SG,25,SAS,80,78,154,79
107,Andrew Wiggins,2020,SF,24,GSW,81,76,154,79
108,Chris Boucher,2020,C,27,TOR,77,81,154,79
109,Larry Nance Jr.,2020,PF,27,CLE,78,80,154,79
110,Bogdan Bogdanović,2020,SG,27,SAC,80,78,154,79
111,Rondae Hollis-Jefferson,2020,PF,25,TOR,76,83,154,79
112,Joe Ingles,2020,PF,32,UTA,78,80,154,79
113,Derrick Jones Jr.,2020,SF,22,MIA,76,83,154,79
114,Caris LeVert,2020,SG,25,BRK,80,78,154,79
115,Derrick Favors,2020,C,28,NOP,78,80,154,79
116,Shaquille Harrison,2020,SG,26,CHI,76,83,154,79
117,Matisse Thybulle,2020,SG,22,PHI,72,88,154,79
118,Marquese Chriss,2020,PF,22,GSW,78,80,154,79
119,Jabari Parker,2020,PF,24,SAC,78,79,153,79
120,Cody Zeller,2020,C,27,CHO,78,78,153,79
121,Thaddeus Young,2020,PF,31,CHI,75,83,153,79
122,Kelly Olynyk,2020,C,28,MIA,77,80,153,79
123,Jordan Clarkson,2020,SG,27,UTA,81,75,153,79
124,Tony Bradley,2020,C,22,UTA,78,78,153,79
125,Marcus Morris,2020,SF-PF,30,LAC,78,78,153,79
126,Jerami Grant,2020,PF,25,DEN,78,78,153,79
127,Danny Green,2020,SG,32,LAL,75,84,153,79
128,Royce O'Neale,2020,SF,26,UTA,74,85,153,79
129,Draymond Green,2020,PF,29,GSW,75,84,153,79
130,Josh Hart,2020,SF,24,NOP,76,81,153,79
131,Michael Porter Jr.,2020,SF,21,DEN,80,76,153,79
132,T.J. McConnell,2020,PG,27,IND,78,79,153,79
133,Kyle Anderson,2020,SF,26,MEM,75,83,153,79
134,Jeremy Lamb,2020,SG,27,IND,76,81,153,79
135,Mo Bamba,2020,C,21,ORL,75,83,153,79
136,De'Anthony Melton,2020,PG,21,MEM,75,84,153,79
137,Terrence Ross,2020,SG,28,ORL,77,80,153,79
138,Terry Rozier,2020,PG,25,CHO,81,75,153,79
139,Markelle Fultz,2020,PG,21,ORL,77,80,153,79
140,Bojan Bogdanović,2020,SF,30,UTA,81,75,153,79
141,Paul Millsap,2020,PF,34,DEN,78,79,153,79
142,P.J. Washington,2020,PF,21,CHO,76,80,152,78
143,James Johnson,2020,PF-C,32,MIN,76,80,152,78
144,Goran Dragić,2020,PG,33,MIA,81,74,152,78
145,Kyle O'Quinn,2020,C,29,PHI,76,80,152,78
146,Danuel House Jr.,2020,SF,26,HOU,76,80,152,78
147,Tristan Thompson,2020,PF,28,CLE,78,76,152,78
148,Maxi Kleber,2020,PF,28,DAL,77,79,152,78
149,Alex Caruso,2020,PG,25,LAL,74,84,152,78
150,Lauri Markkanen,2020,PF,22,CHI,77,79,152,78
151,Trevor Ariza,2020,SF,34,POR,75,81,152,78
152,John Henson,2020,C,29,DET,75,81,152,78
153,Jaxson Hayes,2020,C,19,NOP,77,79,152,78
154,Collin Sexton,2020,PG,21,CLE,81,73,152,78
155,Bruce Brown,2020,PG,23,DET,75,81,152,78
156,Joe Harris,2020,SF,28,BRK,78,76,152,78
157,Michael Carter-Williams,2020,SG,28,ORL,75,81,152,78
158,Monte Morris,2020,PG,24,DEN,78,76,152,78
159,Pat Connaughton,2020,SG,27,MIL,75,81,152,78
160,Ersan İlyasova,2020,PF,32,MIL,76,80,152,78
161,Brad Wanamaker,2020,PG,30,BOS,75,81,152,78
162,Tomáš Satoranský,2020,SG,28,CHI,77,79,152,78
163,Duncan Robinson,2020,SG,25,MIA,80,75,152,78
164,Dwight Powell,2020,C,28,DAL,77,79,152,78
165,Wendell Carter Jr.,2020,C,20,CHI,76,80,152,78
166,Dāvis Bertāns,2020,PF,27,WAS,81,74,152,78
167,Mike Conley,2020,PG,32,UTA,78,76,152,78
168,Tyus Jones,2020,PG,23,MEM,77,78,151,78
169,Kendrick Nunn,2020,PG,24,MIA,77,76,151,78
170,Jordan McLaughlin,2020,PG,23,MIN,77,78,151,78
171,Shabazz Napier,2020,PG,28,WAS,77,78,151,78
