,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Kevin Garnett*,2004,PF,27,MIN,96,94,182,96
0,LeBron James,2010,SF,25,CLE,97,92,182,96
0,Nikola Jokić,2022,C,26,DEN,97,97,183,96
0,LeBron James,2012,SF,27,MIA,96,95,181,95
0,LeBron James,2009,SF,24,CLE,96,94,180,95
0,Russell Westbrook,2017,PG,28,OKC,97,91,181,95
1,Chris Paul,2008,PG,22,NOH,95,91,178,94
0,LeBron James,2008,SF,23,CLE,96,90,178,94
0,LeBron James,2013,PF,28,MIA,96,93,179,94
1,Kevin Durant,2013,SF,24,OKC,95,93,178,94
1,Giannis Antetokounmpo,2022,PF,27,MIL,95,93,179,94
0,James Harden,2019,PG,29,HOU,97,89,179,94
1,Giannis Antetokounmpo,2019,PF,24,MIL,92,97,179,94
0,Giannis Antetokounmpo,2020,PF,25,MIL,93,97,179,94
0,Kevin Garnett*,2005,PF,28,MIN,95,95,179,94
0,Nikola Jokić,2021,C,25,DEN,97,90,178,94
0,Stephen Curry,2016,PG,27,GSW,97,88,178,94
1,Chris Paul,2009,PG,23,NOH,94,94,178,94
0,LeBron James,2011,SF,26,MIA,97,89,177,93
1,James Harden,2015,SG,25,HOU,97,91,177,93
0,James Harden,2018,SG,28,HOU,97,88,177,93
1,James Harden,2017,PG,27,HOU,95,86,177,93
0,Anthony Davis,2015,PF,21,NOP,93,97,177,93
0,Kevin Durant,2014,SF,25,OKC,97,87,177,93
2,Joel Embiid,2022,C,27,PHI,94,91,177,93
1,James Harden,2020,SG,30,HOU,97,88,177,93
1,Anthony Davis,2018,PF,24,NOP,92,95,177,93
1,Dwyane Wade,2010,SG,28,MIA,92,88,175,92
2,Dirk Nowitzki,2005,PF,26,DAL,94,90,175,92
0,LeBron James,2007,SF,22,CLE,94,91,176,92
2,LeBron James,2018,PF,33,CLE,95,87,175,92
1,LeBron James,2005,SF,20,CLE,96,89,176,92
2,Stephen Curry,2015,PG,26,GSW,97,90,176,92
1,Tim Duncan*,2004,PF,27,SAS,91,92,176,92
1,Dwight Howard,2011,C,25,ORL,90,97,176,92
2,Kawhi Leonard,2017,SF,25,SAS,91,90,175,92
0,LeBron James,2006,SF,21,CLE,97,87,176,92
2,Dwyane Wade,2009,SG,27,MIA,95,90,176,92
3,Russell Westbrook,2016,PG,27,OKC,92,88,173,91
4,Chris Paul,2015,PG,29,LAC,94,89,173,91
2,Anthony Davis,2019,C,25,NOP,90,92,173,91
1,LeBron James,2014,PF,29,MIA,94,86,174,91
1,Tim Duncan*,2007,C,30,SAS,89,95,174,91
3,Dirk Nowitzki,2007,PF,28,DAL,95,85,173,91
2,Anthony Davis,2020,PF,26,LAL,89,94,174,91
3,Russell Westbrook,2015,PG,26,OKC,95,89,174,91
3,Russell Westbrook,2018,PG,29,OKC,91,91,173,91
4,Giannis Antetokounmpo,2018,PF,23,MIL,92,90,173,91
1,Kevin Durant,2016,SF,27,OKC,94,87,174,91
2,Kawhi Leonard,2016,SF,24,SAS,88,94,174,91
4,LeBron James,2016,SF,31,CLE,92,88,173,91
2,Chris Paul,2013,PG,27,LAC,91,91,173,91
3,Giannis Antetokounmpo,2017,SF,22,MIL,89,92,174,91
4,Anthony Davis,2017,C,23,NOP,89,92,174,91
5,Kevin Durant,2017,PF,28,GSW,90,89,173,91
3,Luka Dončić,2022,PG,22,DAL,92,89,173,91
4,Elton Brand,2006,PF,26,LAC,92,90,173,91
3,Kobe Bryant*,2006,SG,27,LAL,97,84,173,91
2,Kevin Garnett*,2006,PF,29,MIN,90,92,173,91
1,Dwyane Wade,2006,SG,24,MIA,94,87,173,91
3,Kawhi Leonard,2020,SF,28,LAC,90,90,173,91
2,Dwyane Wade,2007,SG,25,MIA,94,88,173,91
2,Dwyane Wade,2011,SG,29,MIA,94,88,174,91
1,Giannis Antetokounmpo,2021,PF,26,MIL,92,91,174,91
2,Andrei Kirilenko,2004,PF,22,UTA,89,91,173,91
